doc_id,domain,task,public_status,source_path,paper_ready,source_provenance_issue,rendered_pages,textlayer_spans,mineable_candidates,review_rows,open_review_rows,packeted_open_review_rows,unpacketed_open_review_rows,fresh_open_review_rows,rights_blocked_open_review_rows,stale_open_review_rows,mergeable_review_rows,missing_review_evidence_rows,unique_open_review_rows,unique_packeted_open_review_rows,unique_fresh_open_review_rows,fresh_missing_review_evidence_rows,gold_rows,gold_microtext_rows,gold_visualdiff_rows,staged_future_rows,staged_future_capacity_path,conversion_exhaustion_status,conversion_exhaustion_evidence,duplicate_payload_alias,next_step,priority_score,source_url
nasa_20240015687_transit_habitat_rcs_propulsion,pid,microtext,government_public_use_permitted_nasa_candidate,microtext/docs/source_intake_2026_09_01_wave1737_nasa_transit_habitat_rcs/20240015687.pdf,True,,12,223,0,6002,2916,1081,1835,0,0,1835,0,0,1725,190,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,406,https://ntrs.nasa.gov/citations/20240015687
olimex_esp32_poe_m,pcb_schematic,visualdiff,apache_2_0_open_hardware_candidate,visualdiff/docs/olimex_esp32_poe/revisions/olimex_esp32_poe_m.pdf,True,,1,1798,312,14,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,32,https://github.com/OLIMEX/ESP32-POE.git
voron_trident_250_deck_vtr1,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_250_deck_VTr1.dxf,True,,1,0,0,10,10,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,30,https://github.com/VoronDesign/Voron-Trident
voron_trident_250_deck_vtr2,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_250_deck_VTr2.dxf,True,,1,0,0,10,10,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,30,https://github.com/VoronDesign/Voron-Trident
voron_trident_350_deck_vtr1,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_350_deck_VTr1.dxf,True,,1,0,0,10,10,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,30,https://github.com/VoronDesign/Voron-Trident
voron_trident_350_deck_vtr2,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_350_deck_VTr2.dxf,True,,1,0,0,10,10,10,0,0,0,0,0,0,2,2,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,30,https://github.com/VoronDesign/Voron-Trident
voron_trident_300_deck_vtr1,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_300_deck_VTr1.dxf,True,,1,0,0,15,15,15,0,0,0,0,0,0,6,6,0,0,1,0,1,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,23,https://github.com/VoronDesign/Voron-Trident
voron_trident_300_deck_vtr2,mechanical_cad,visualdiff,gpl_3_0_open_source_candidate,visualdiff/docs/voron_trident_deck_revisions/Trident_300_deck_VTr2.dxf,True,,1,0,0,15,15,15,0,0,0,0,0,0,6,6,0,0,1,0,1,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,23,https://github.com/VoronDesign/Voron-Trident
olimex_esp32_poe_k,pcb_schematic,visualdiff,apache_2_0_open_hardware_candidate,visualdiff/docs/olimex_esp32_poe/revisions/olimex_esp32_poe_k.pdf,True,,1,1224,301,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,22,https://github.com/OLIMEX/ESP32-POE.git
olimex_esp32_poe_m1,pcb_schematic,visualdiff,apache_2_0_open_hardware_candidate,visualdiff/docs/olimex_esp32_poe/revisions/olimex_esp32_poe_m1.pdf,True,,1,1797,310,23,7,7,0,0,0,0,0,0,7,7,0,0,2,0,2,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,19,https://github.com/OLIMEX/ESP32-POE.git
olimex_esp32_gateway_e,pcb_schematic,visualdiff,apache_2_0_open_hardware_candidate,visualdiff/docs/olimex_esp32_gateway/revisions/olimex_esp32_gateway_e.pdf,True,,1,880,158,28,6,6,0,0,0,0,0,0,5,5,0,0,3,0,3,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,15,https://github.com/OLIMEX/ESP32-GATEWAY.git
olimex_esp32_poe_b1,pcb_schematic,visualdiff,apache_2_0_open_hardware_candidate,visualdiff/docs/olimex_esp32_poe/revisions/olimex_esp32_poe_b1.pdf,True,,1,1091,196,12,4,4,0,0,0,0,0,0,4,4,0,0,2,0,2,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,13,https://github.com/OLIMEX/ESP32-POE.git
pcb_014_arduino_uno_rev3e_board,pcb_schematic,microtext,cc_by_sa_4_0_arduino_hardware,microtext/docs/source_intake_2026_06_16/pcb_014_arduino_uno_rev3e_board.brd,True,,2,70,16,131,26,6,20,0,0,20,0,0,13,3,0,0,13,13,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,await_human_return,11,https://docs.arduino.cc/hardware/uno-rev3/
sparkfun_micromod_artemis_base,pcb_schematic,visualdiff,cc_by_sa_4_0_open_hardware_candidate,visualdiff/docs/sparkfun_micromod_artemis/revisions/sparkfun_micromod_artemis_base.sch,True,,1,411,151,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,active_gold_expand_later,5,https://github.com/sparkfun/MicroMod_Artemis_Processor.git
sparkfun_micromod_esp32_v01,pcb_schematic,visualdiff,cc_by_sa_4_0_open_hardware_candidate,visualdiff/docs/sparkfun_micromod_esp32/revisions/sparkfun_micromod_esp32_v01.sch,True,,1,497,172,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,active_gold_expand_later,5,https://github.com/sparkfun/MicroMod_ESP32_Processor.git
sparkfun_micromod_rp2040_initial,pcb_schematic,visualdiff,cc_by_sa_4_0_open_hardware_candidate,visualdiff/docs/sparkfun_micromod_rp2040/revisions/sparkfun_micromod_rp2040_initial.sch,True,,1,436,168,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,active_gold_expand_later,5,https://github.com/sparkfun/MicroMod_Processor-RP2040.git
sparkfun_micromod_samd51_usb_host_dp_fix,pcb_schematic,visualdiff,cc_by_sa_4_0_open_hardware_candidate,visualdiff/docs/sparkfun_micromod_samd51/revisions/sparkfun_micromod_samd51_usb_host_dp_fix.sch,True,,1,369,170,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,active_gold_expand_later,5,https://github.com/sparkfun/MicroMod_Processor_Board-SAMD51.git
sparkfun_micromod_samd51_spi_clock_names,pcb_schematic,visualdiff,cc_by_sa_4_0_open_hardware_candidate,visualdiff/docs/sparkfun_micromod_samd51/revisions/sparkfun_micromod_samd51_spi_clock_names.sch,True,,1,369,170,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,active_gold_expand_later,5,https://github.com/sparkfun/MicroMod_Processor_Board-SAMD51.git
doe_beto_electric_reformer_pid,pid,microtext,public_federal_hosted_proprietary_marked_candidate,microtext/docs/doe_beto_electric_reformer_pid.pdf,False,source_rights_not_release_safe,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,3,https://www.energy.gov/eere/bioenergy/articles/2023-project-peer-review
prusa_heatbed_mk52_12v_05e,pcb_schematic,reference,reference_only_cc_by_sa_4_candidate,visualdiff/docs/prusa_heatbed_mk52/heatbed_mk52_12v_05e.pdf,False,source_rights_not_release_safe,1,42,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,3,https://github.com/prusa3d/Heatbed_MK52_magnetic
sparkfun_micromod_teensy_dat23_fix,unknown,visualdiff,unknown,visualdiff/docs/sparkfun_micromod_teensy/revisions/sparkfun_micromod_teensy_dat23_fix.sch,False,missing_manifest_doc,1,708,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,3,
arch_017_6_details_front_entrance_interior_doors_stair_detail_methodis,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
fdot_151_revision_packages_2024,civil_architectural,reference,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
gdandt_engineering_design,mechanical_cad,reference,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
itawamba_addendum_03,civil_architectural,visualdiff,unknown,visualdiff/docs/Itawamba_Addendum_03.pdf,False,missing_manifest_sha256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
sawater_pid_symbols_chart_4003_00001_01,pid,microtext,restricted_public_utility_pdf_candidate,microtext/docs/sawater_pid_symbols_chart_4003_00001_01.pdf,False,source_rights_not_release_safe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,"https://www.sawater.com.au/building,-developing-and-plumbing/developments/engineering-standards/technical-standards"
sawater_pid_symbols_chart_4003_00001_02,pid,microtext,restricted_public_utility_pdf_candidate,microtext/docs/sawater_pid_symbols_chart_4003_00001_02.pdf,False,source_rights_not_release_safe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,"https://www.sawater.com.au/building,-developing-and-plumbing/developments/engineering-standards/technical-standards"
sheet_00001a,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
sheet_00002a,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
sheet_00003a,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
sheet_00004a,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
sheet_00005a,civil_architectural,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
wikimedia_pump_with_tank_pid_en_1280px,pid,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
wsdot_addendum_guide_appendix5,civil_architectural,reference,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,1,
arch_012_partial_site_plan_and_upper_level_equipment_building_floor_pl,unknown,microtext,unknown,,False,missing_manifest_doc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_013_2_lock_tender_s_shelter_south_elevation_north_elevation_east,unknown,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_014_section_at_frame_195_section_at_frame_154_section_at_midship,unknown,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_016_3_roof_plan_and_roof_framing_plan_manatoc_reservation_dining,unknown,microtext,unknown,microtext/docs/source_intake_2026_07_31_loc_unused/arch_016_3_roof_plan_and_roof_framing_plan_manatoc_reservation_dining_.jpg,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_017_12_iron_stair_details_stair_assembly_details_plan_first_fligh,unknown,microtext,unknown,,False,missing_manifest_doc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_018_1_staircase_plan_staircase_isometric_main_house_window_detail,unknown,microtext,unknown,,False,missing_manifest_doc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_018_3_east_elevation_west_elevation_cornice_detail_window_detail,unknown,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
arch_019_1_site_plan_in_1870_1890_site_plan_in_1900_1920_site_plan_in,unknown,microtext,unknown,,False,missing_manifest_doc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,derived/quality/v2_0_canonical_future_capacity_2026-08-29-wave1027-current-safe-plus-wave1012-nasa.jsonl;derived/quality/v2_0_staged_capacity_2026-09-09-wave2366-cross-domain-test-capacity.json,,,False,rights_review_or_hold,-5,
